unique_input_record_identifier	input_title	lookup_key	lookup_key_given	database_song_code	database_song_title	database_song_writers
7jqCebvd30ZSaQBfwV2Na5	Book II: Prelude and Fugue No. 17 in A-Flat Major, BWV 886	BOOKIIPRELUDE&FUGUENO17IN	BOOKIIPRELUDE&FUGUENO17IN	153698329	BOOK II: PRELUDE AND FUGUE NO. 17 IN A-FLAT MAJOR, BWV 886	JOHANN SEBASTIAN BACH
296LoOFurYUNo0xr6diEES	OdyssÃ©e	ODYSEE	ODYSEE	149635375	ODYSSEE	FEVRE B/GIORDANO J
2UYdO5OLRIaWQhTTNCy7Dx	Unvergesslich (Inoubliable)	UNVERGESLICH	UNVERGESLICH	147930907	UNVERGESSLICH (INOUBLIABLE)	CHARLES AZNAVOUR/PIERRE DELANOE
6VwGytUkC11Mj5kcHXggYj	Eravamo Re	ERAVAMORE	ERAVAMORE	148133243	ERAVAMO RE	FINI C/TOGNINI S
67bkRbYTDuhYXIwdIF0dkA	Caminando	CAMINANDO	CAMINANDO	147579044	CAMINANDO	CAMILO VELASQUEZ/VERONICA ATEHORTUA
4XpoKWfMZzerw1R7uX5LMs	Boogie Magic	BOOGIEMAGIC	BOOGIEMAGIC	141798782	BOOGIE MAGIC	COFFEY DENNIS JAMES
5EKCupOjtK8BBz8MUw8WWX	Looking Through Darkness	LOOKINTHROUGHDARKNES	LOOKINTHROUGHDARKNES	110954748	LOOKING THROUGH DARKNESS	ELAM K/HARRIS D
78SCz6GkX5zPta7X1DsZnZ	Que Te Vaya Bonito	QUETEVAYABONITO	QUETEVAYABONITO	103736383	QUE TE VAYA BONITO	JIMENEZ-SANDOVAL JOSE ALFREDO
1YMRTLjJC5gK4ZfULfm17T	Shoes	SHOE	SHOE	134727555	SHOES	TABOR T/GASKILL J/PINNICK D
2BAyouVbATFhG3qX9ZHuwQ	Bedrock	BEDROCK	BEDROCK	114102288	BEDROCK	SKELTYS/CRAWFORD/MALNECK/SIGNORELLI/PARI
4rxTIrp20yS9TlGKOtP5pG	Pusti Micu, Gadan Je U Picu	PUSTIMICUGADANJEUPICU	PUSTIMICUGADANJEUPICU	141448081	PUSTI MICU, GADAN JE U PICU	BAJA MALI KNINDZA/BAJA MALI KNINDZA
2jpvd0imsQzgdoIXEBdNxj	Birds	BIRD	BIRD	136830106	BIRDS	TORRINI E/CAREY D
1jP3M6DPaKEIP8GQpTdHNX	Too Much	TOOMUCH	TOOMUCH	152085617	TOO MUCH	KHARBOUCH K/KIMBLE L/LUSTIG A
7ggMd2kMLvHxFRpUocaJvE	Fata Morgana	FATAMORGANA	FATAMORGANA	150834963	FATA MORGANA	ANDREAS CREMER/PHILIPP HANDKE
4HInoGZUGFFjFWq3IAwKTw	Superfine Love	SUPERFINELOVE	SUPERFINELOVE	105190169	SUPERFINE LOVE	WALDEN N/BIANCANIELLO L/COHEN J
4I1keiyuvoJkcGdk8Efq3D	Reunion	REUNION	REUNION	124861012	REUNION	MULLIGAN GERRY
3s8gmcDD3MLdyPeyDoEIK8	Botanist	BOTANIST	BOTANIST	138775177	BOTANIST	YELDHAM SAMUEL THOMAS
14iXpUJUEoXM9ADK29zT9h	Plea Bargain	PLEABARGAIN	PLEABARGAIN	110402131	PLEA BARGAIN	SHAIMAN MARC
07g2acZ6kljLjk0Xif8MtC	You Started Something	YOUSTARTEDSOMETHIN	YOUSTARTEDSOMETHIN	111631482	YOU STARTED SOMETHING	WATERMAN P/STOCK M/AITKEN M
4tu2wvKfJeaKS8uIySXrHR	Em Algum Lugar no Tempo	EMALGUMLUGARNOTEMPO	EMALGUMLUGARNOTEMPO	154528419	EM ALGUM LUGAR NO TEMPO	MIGUEL/BRUNO/ALVARO/COELHO/MANNO GOES
7bgL7kWbCPhFh9ccpmlikL	Nu Exciters	NUEXCITER	NUEXCITER	148909829	NU EXCITERS	RALF ECKERT/PETER LASALLE
3EPleXomzYCh6w1bkBHhEF	Hats (Makes Me Wanna Holler)	HAT	HAT	146302347	HATS (MAKES ME WANNA HOLLER)	BULL R/MAUNICK E
1xeMq87xBMSLpjXo85jIOQ	Country Roads	COUNTRYROAD	COUNTRYROAD	154302588	COUNTRY ROADS	JOHN DENVER/TAFFY NIVERT/WILLIAM THOMAS
1NIgovf0IUMcggtYPJRp6C	The Final Absolution	FINALABSOLUTION	FINALABSOLUTION	154074310	THE FINAL ABSOLUTION	DE CALUWE/LEIJ/JELEKIS/FRANCESCHINI/BEDE
0uzhVVCG73nBIngV1hpyvY	I Can't Let Go	ICANTLETGO	ICANTLETGO	100881406	I CANT LET GO	GORGONI A/TAYLOR C
7KYItmZqiTnvfuO42oc6Og	Agar Tu Hota	AGARTUHOTA	AGARTUHOTA	149986704	AGAR TU HOTA	TIWARI A/UPADHYAY A
2mmFemFfAyv9kGffdjhGqC	Alguien Que Se Cruce En Mi Camino	ALGUIENQUESECRUCEENMICAMI	ALGUIENQUESECRUCEENMICAMI	147919020	ALGUIEN QUE SE CRUCE EN MI CAMINO	EDUARDO FRANCO/CACHO VALDEZ/EDUARDO FRAN
5eDYqeMnqFNAHochPlvD9b	Taco Wagon	TACOWAGON	TACOWAGON	128848155	TACO WAGON	DALE DICK
5U9MWOE39IQ7dcPDT0XO3T	Mother Goose: i. Sleeping Beauty	MOTHERGOOSEISLEEPINBEAUTY	MOTHERGOOSEISLEEPINBEAUTY	150173612	MOTHER GOOSE: I. SLEEPING BEAUTY	MAURICE RAVEL
47A2Tce2Zpgq0hl45qJki3	Appreciate You	APRECIATEYOU	APRECIATEYOU	153724138	APPRECIATE YOU	MONTE LEVEL KELLEY
1SzovCA1H8KPmhRm6BchKt	Trilogy for Krishna: Krishna II - Holy Denying	TRILOGYFORKRISHNAKRISHNAI	TRILOGYFORKRISHNAKRISHNAI	149046013	TRILOGY FOR KRISHNA: KRISHNA I - HOLY AFFIRMING	ARTHUR ANDRES RIBEIRO
2B8VErJAQkqP0bM6Mb33sL	Kapardina	KAPARDINA	KAPARDINA	134404180	KAPARDINA	UNKNOWN
1AWKAG5IljRnoEromiawhk	It's Too Late	ITSTOOLATE	ITSTOOLATE	133521687	IT'S TOO LATE	HUME D/HUME J/HUME P
1LGMu3k03UURXTuATa2xdg	"\"The Shadow of Your Smile (Love Theme from \"\"The Sandpiper\"\")\""	SHADOWOFYOURSMILE	SHADOWOFYOURSMILE	100484068	SHADOW OF YOUR SMILE	MANDEL J/WEBSTER P
7qLN09P7CvMTikaavrkGUr	Revitalize	REVITALISE	REVITALISE	144368966	REVITALIZE	KAYFABE LANOISE/RICO SUCHATZKI/MELANIE G
0SSIr855WMaF6rWXjZvgRo	Habit of Mind	HABITOFMIND	HABITOFMIND	140753013	HABIT OF MIND	LANG K/GRANGE J/CLARKE D
6f4OdqA93uyv2K6UeEbKXU	St. Anger	ANGER	ANGER	151962976	ANGER	DANIEL FASTRO/FREDERICO BARRETO DE OLIVE
5GoGjEsPvr0McJQiGGCnws	Man Listen	MANLISTEN	MANLISTEN	152016445	MAN LISTEN	DIEHL B/BALSHE A/KHALED K/NGUYEN D
7c6opaRm7F0yivzl40LRqJ	Undercover of My Skin	UNDERCOVEROFMYSKIN	UNDERCOVEROFMYSKIN	154098394	UNDERCOVER OF MY SKIN	WALKER B/SKUBISZEWSKI J
7koVKROalkRPaeMFFzcyfw	Das Rheingold, WWV 86A / Erste Szene: Weia! Waga! Woge du Welle! - Live At Staatsoper, Vienna / 2011	RHEINGOLDWV86AERSTESZENEW	RHEINGOLDWV86AERSTESZENEW	150498186	DAS RHEINGOLD, WWV 86A, ERSTE SZENE: WEIA! WAGA! WOGE, DU WE	RICHARD WAGNER
4INqVSyfEPwnTkHtCwhIAb	Love Me Tender	LOVEMETENDER	LOVEMETENDER	100808505	LOVE ME TENDER	PRESLEY E/MATSON V
4toHIBRIKMEEE61SusEwes	Higher - Jerry Folk Remix	HIGHERJERYFOLKREMIX	HIGHERJERYFOLKREMIX	153240634	HIGHER JERRY FOLK REMIX	MATY NOYES/KETIL JANSEN/SEBASTIAN TEIGEN
0sBjk0d2JfH0foHkt1VXPD	Rations	RATION	RATION	149517010	RATIONS	BROWN COBY
6jTuYb8VuMrlooQy45eN03	Equinox	EQUINOX	EQUINOX	143540276	EQUINOX	BURNS LUCIE/MYSLIKOVJAN IVAN
2rArUcVf6tenO8UL54keho	Jussara	JUSARA	JUSARA	133459634	JUSSARA	MOREIRA QUICAS
4aYnfoTYbbyDr6v2RaicYB	Do It Together	DOITTOGETHER	DOITTOGETHER	137389933	DO IT TOGETHER	YATES/RANKINE/BAKER/HONSON/LAMBERT
4m1opmaYT9zk5OP7IHUb9R	Call To Arms	CALTOARM	CALTOARM	149532754	CALL TO ARMS	SIMPSON JOHN STURGILL
4d0yzZtMPYKU6AmijCNpLj	Concerto for Violin and Organ in C Major, RV 808: III. Allegro	CONCERTOFORVIOLIN&ORGANIN	CONCERTOFORVIOLIN&ORGANIN	143514861	CONCERTO FOR VIOLIN AND ORGAN IN C MAJOR, RV 808: III. ALLEG	ANTONIO VIVALDI
25Q5OflSxjMcI6er7dshoS	Dionysian Urge	DIONYSIANURGE	DIONYSIANURGE	139484292	DIONYSIAN URGE	WHEELER TIMOTHY JAMES ARTHUR
0lVrzRQJbBdQnTr57e70t1	Thumbelina	THUMBELINA	THUMBELINA	103149201	THUMBELINA	LOESSER FRANK
7HsVqk0jBaixdESPtbxDwf	Adorations	ADORATION	ADORATION	102965159	ADORATIONS	COLEMAN J/FERGUSON M/RAVEN P/WALKER K
7s0CqOvyKGkyPLl6N2Bg9I	Kiss Me	KISME	KISME	109494345	KISS ME	DUFFY STEPHEN ANTHONY JAMES
3SIEL0FHZrOmYb6YdCPXER	Liebster Gott, wenn werd ich sterben, BWV 8: Recitative: Behalte nur, o Welt, das Meine! (Soprano)	LIEBSTERGOTWENWERDICHSTER	LIEBSTERGOTWENWERDICHSTER	144675517	LIEBSTER GOTT, WENN WERD ICH STERBEN?, BWV 8: VI. CHORA (NL)	JOHANN SEBASTIAN BACH
7ByyYB8M24L0dGUh5f2ZUL	Krajina je majka	KRAJINAJEMAJKA	KRAJINAJEMAJKA	143328731	KRAJINA JE MAJKA	ZIVKOVIC V/ZIVKOVIC V
4JkoBVUPDMc4PbBctG2ySs	Hulapalu	HULAPALU	HULAPALU	148208280	HULAPALU	GABALIER ANDREAS
3CKH9RNXLcvl6baYJUybCL	Koliko Je Prevarenih	KOLIKOJEPREVARENIH	KOLIKOJEPREVARENIH	147891892	KOLIKO JE PREVARENIH	ZLATKO TIMOTIC ZLAJA
7eDjwwpghuiCEVXhtel8Zy	Dankbar	DANKBAR	DANKBAR	145989523	DANKBAR	BENJAMIN STOTTMEISTER
40esUsEMmw0qwhnGMseDgR	You Lose	YOULOSE	YOULOSE	144518681	YOU LOSE	STEFAN BECHER
4nYysvyXvE31PB8KVJWDoM	Who Dat	WHODAT	WHODAT	119432337	WHO DAT	DAVIS/JOHNSTON/NKHEREANYE/STEWART/THOMPK
79xLmqnrSLtzrTlCOkmTmq	Call Upon	CALUPON	CALUPON	154676411	CALL UPON	GRAY S/MANOVSKI S/ESTRADE L/SUNDBAUM E
4x9Aig6PzVapoeeYoNocYC	Opened	OPENED	OPENED	153496331	OPENED	PATRICK ROBERT LYNCH/PHILIP ANDREWS DUCH
3YAoxvQt6hpSbmQ9HIom01	Rugged Country	RUGEDCOUNTRY	RUGEDCOUNTRY	149731795	RUGGED COUNTRY	ZAUNER MICHELLE CHONGMI
0tGIRDsFl3j5TMbK7nK2Ji	The Great Water Sequel	GREATWATERSEQUEL	GREATWATERSEQUEL	144773333	GREAT WATER SEQUEL	EVEBORN/LINDBLOM/LINDBLOM/DAHLSTEDT
5vBCcgTVe22nwY3EGMXdvh	Dixie Boogie	DIXIEBOOGIE	DIXIEBOOGIE	102380202	DIXIE BOOGIE	ATWELL WINIFRED
38casNXY2G39SZRUjALtcY	How I Roll	HOWIROL	HOWIROL	140782333	HOW I ROLL	KARLSSON/WINNBERG/LIDEHALL/JONBACK/MCKEE
4I08B4Z8l5jroZYupuna8h	Please Come Back	PLEASECOMEBACK	PLEASECOMEBACK	147424715	PLEASE COME BACK	DAG SINDRE VAGLE/DAG SINDRE VAGLE
2nwBoEYXhXKsLp0A88DZI4	The Photographer: Act II	PHOTOGRAPHERACTII	PHOTOGRAPHERACTII	142708479	THE PHOTOGRAPHER: ACT II	PHILIP GLASS
528YVqE16CenL0aLYrJOej	Yang Terlewatkan	YANGTERLEWATKAN	YANGTERLEWATKAN	138000002	YANG TERLEWATKAN	CANDRA EROSS
0NerbJg3H6xJMjAiUH4R9y	Colliepark	COLIEPARK	COLIEPARK	142360762	COLLIEPARK	SINISTARR
719sQR7qma8K6kgMlpQSOe	I Don't Mind	IDONTMIND	IDONTMIND	140766608	I DON'T MIND	MAYALL JOHN
4ZVZB9inlBtfFPUdnOu4AT	Bluebird	BLUEBIRD	BLUEBIRD	133178417	BLUEBIRD	NOONAN KATIE ANNE
35e7ckbWgHjHI9n3oL6jnd	Malade	MALADE	MALADE	131790133	MALADE	DE BUJADOUX YVES JE
2wRZk21Klib9hcPslNwyqD	Dembese	DEMBESE	DEMBESE	140785791	DEMBESE	THUSI B/MAMBISA T
7MnxdsnHrXOgnqpAv6K04d	Why Don't You Fall in Love with Me? - Remastered	WHYDONTYOUFALINLOVEWITHME	WHYDONTYOUFALINLOVEWITHME	103248453	WHY DONT YOU FALL IN LOVE WITH ME	LEWIS A/WAYNE M
252htgicGlEQdV2se6iZdJ	Dear X, You Don't Own Me	DEARXYOUDONTOWNME	DEARXYOUDONTOWNME	140170853	DEAR X YOU DON'T OWN ME	YOUNG K/GLOVER B/HAWKINS R
40nsQucs2zbec1F8JBi0iJ	New Generation	NEWGENERATION	NEWGENERATION	152169085	NEW GENERATION	CSABA ZVEKAN
2gU1CTTz1Gl05yF13Ub2Ol	Let Me Fall in Love	LETMEFALINLOVE	LETMEFALINLOVE	146202625	LET ME FALL IN LOVE	UNKNOWN
3iWHl7QFmQ9HmXgDEyzxop	Sign Of Relief	SIGNOFRELIEF	SIGNOFRELIEF	144739698	SIGN OF RELIEF	DUDLEY/HORN/JECZALIK/LANGAN/MORLEY
1aexn5XUwWBcCn8T36IYK3	Joy Through Death	JOYTHROUGHDEATH	JOYTHROUGHDEATH	152428529	JOY THROUGH DEATH	/VANHANEN/MCNERNEY/ARR/ARINO/KIISKILAE/T
4O0YeW6g2zD3uPUbqR2i5G	Any Other Way	ANYOTHERWAY	ANYOTHERWAY	134360211	ANY OTHER WAY	BELL WILLIAM (USA)
45nQhPpDCj5ORSgFPv8EHw	Rise Up	RISEUP	RISEUP	151806646	RISE UP	BANTA E/MASON A
4lJO3eyYqw9CT8mKljyJu5	Sunday Kinda Love (feat. Aaron Lindsey, PJ Morton & Nikki Ross)	SUNDAYKINDALOVE	SUNDAYKINDALOVE	145299367	SUNDAY KINDA LOVE	LINDSEY A/HOUGHTON I
58gn5gg9fpam1eQB0MLHe2	To Be By Your Side	TOBEBYYOURSIDE	TOBEBYYOURSIDE	133505468	TO BE BY YOUR SIDE	COULAIS B/CAVE N
0AjfHlfaz7JEvPMsPJNeXO	"\"Flying Theme (From \"\"E. T.\"\")\""	FLYINTHEME	FLYINTHEME	101151252	FLYING THEME (FROM E.T.)	WILLIAMS JOHN T
3PhIQPwCeWV5TfrZkuwXWp	Too Fat Polka	TOOFATPOLKA	TOOFATPOLKA	101112096	TOO FAT POLKA	MACLEAN R/RICHARDSON A
00ObrTLihRBZzDGPypzxON	Por Eso, Estoy Preso	PORESOESTOYPRESO	PORESOESTOYPRESO	131116800	POR ESO ESTOY PRESO	FINKELBERG J/FRANCO D/MOSENKIS J
2buPtPaKomtwoT8YvxO13f	L'Anno Che VerrÃ 	LANOCHEVERA	LANOCHEVERA	101388079	L'ANNO CHE VERRA	DALLA LUCIO
4drhI0HFUrZhtQFM6UTezn	A Guy That I'd Kinda Be Into	GUYTHATIDKINDABEINTO	GUYTHATIDKINDABEINTO	149019152	GUY THAT I'D KINDA BE INTO	ICONIS JOSEPH P
0FwmxfNxIpFhyWVYhFHDBw	Un mundo de zurdos	MUNDODEZURDO	MUNDODEZURDO	149298311	UN MUNDO DE ZURDOS	FERNANDO PONTON
5Xz7X81CO6r9o6nD9cMCb3	Million Miles	MILIONMILE	MILIONMILE	151422589	MILLION MILES	DUDERSTADT DIRK/DUDERSTADT MARCO
2uOctwnoNqfkEVwEwqzLHt	Africans	AFRICAN	AFRICAN	142352368	AFRICANS	WAJE S/SAMADZADA F/EGBUNA N
4lRgXXGKwulNmOP9IPFE9I	Bout Mine	BOUTMINE	BOUTMINE	129652303	'BOUT MINE	YOUNG/ROBERTS/SEYMOUR/CASTILLO/THOMPSON
11cLIOqkyRLR3huCNp3XmH	Sonata for Violin and Basso Continuo in E Minor, TWV 41:e8: IV. Allegro	SONATAFORVIOLIN&BASOCONTI	SONATAFORVIOLIN&BASOCONTI	148531178	SONATA FOR VIOLIN AND BASSO CONTINUO IN E MINOR, TWV 41:E8:	GEORG PHILIPP TELEMANN
3FF9wbD0NhvitcpIl4475p	Introducing Pikuniku Again, Trailer 2	INTRODUCINPIKUNIKUAGAINTR	INTRODUCINPIKUNIKUAGAINTR	155754994	INTRODUCING PIKUNIKU AGAIN, TRAILER 2	CALUM BOWEN
2RQsuMwdpU6kJaqXEjWQJ4	Evening Meditation	EVENINMEDITATION	EVENINMEDITATION	153047862	EVENING MEDITATION	MARCO RINALDO
3UvbQ1Z0TzAcudQGAAqzKq	Parting Gifts	PARTINGIFT	PARTINGIFT	151001008	PARTING GIFTS	CARMEN LOENE
3NelcGZ46JmV9LqOD1pnxA	Faith (feat. Quavo)	FAITH	FAITH	154082574	FAITH	GORAYA/MARSHALL/BACCHUS/ESMAILIAN
3vVwpJHliGBdF25iKpUBL9	Egyptian Fantasy	EGYPTIANFANTASY	EGYPTIANFANTASY	100067832	EGYPTIAN FANTASY	/BECHET S/REID J
0Fifn4lBIGM5LG18Whp1Dx	Corners	CORNER	CORNER	149004735	CORNERS	MICHAELS J/WHITE D/KING J/SLADE I
77mUbCKj0mRaJmDOZZHqp5	The Jinnouchi Family	JINOUCHIFAMILY	JINOUCHIFAMILY	151042344	THE JINNOUCHI FAMILY	AKIHIKO MATSUMOTO
7BFXyMBsWhla1B5Sg9eTYJ	Musik im Polkaschwung	MUSIKIMPOLKASCHWUNG	MUSIKIMPOLKASCHWUNG	151655574	MUSIK IM POLKASCHWUNG	MAYER HUBY
5OIUh3wKcgz17QJeeuN2uM	No Way Out	NOWAYOUT	NOWAYOUT	134047960	NO WAY OUT	CHENEY CHRISTOPHER JOHN
24CCu1Cu0iyKH6UpgV2DsU	We Believe (Apostle's Creed)	WEBELIEVE	WEBELIEVE	150030334	WE BELIEVE (APOSTLE'S CREED)	GETTY K/LENNOX K/TOWNEND S
0T7HXGIo3QUS0y760PQse0	Seemannslied	SEEMANSLIED	SEEMANSLIED	135676743	SEEMANNSLIED	BODEN M/HAMPF I/HECHT E/HECHT G
5lAUS46liAnSyUYg7JXlMT	Fiesta: II. Tarantella	FIESTAIITARANTELA	FIESTAIITARANTELA	143709826	FIESTA: II. TARANTELLA	SCOTT TENANT
7xnxVpJdZW2LKHuaWAD3Nl	Kadath	KADATH	KADATH	150910995	KADATH	UNKNOWN
06xImgTBqFA091xRsP7b5O	Get Me To The Church On Time	GETMETOCHURCHONTIME	GETMETOCHURCHONTIME	140010886	GET ME TO CHURCH ON TIME	UNKNOWN
7McphnwCoNfmUF8xfDmIz4	Miss U	MISU	MISU	147429460	MISS U	KRUSE/NUERNBERG/TEEANGE MUTANTS
4InHKArd1x3l1jiRuELeEj	Mas Que Nada	MASQUENADA	MASQUENADA	102139384	MAS QUE NADA	/MENEZES JORGE LIMA/JORGE BEN
1cJplXaTMuBgA4qTc90MgW	I Forgot	IFORGOT	IFORGOT	143062367	I FORGOT	TURBOWEEKEND
781CvX8B4kgvwdfVmWuv94	Cotton Candy (Craig C. Retro Blaster Remix)	COTONCANDY	COTONCANDY	141530785	COTTON CANDY	BLUMENFELD D/CASTAGNO C/CASWELL L
6ZhlMEJK5UIO1djk8qx9lm	O Caminho	OCAMINHO	OCAMINHO	133511666	O CAMINHO	GILBERTO BEBEL
34iWBchBQIeCeqy3yMLP74	En tid av stulen lycka	ENTIDAVSTULENLYCKA	ENTIDAVSTULENLYCKA	144560623	EN TID AV STULEN LYCKA	KENT FINGAL
729IOhIgI8kW0WtgdLCAXJ	The Dancing in Kyle	DANCININKYLE	DANCININKYLE	101510008	DANCING IN KYLE	DUGUID E/PRITCHARD J
6tNlelof8u1o8pIq0DBBSB	The Return	RETURN	RETURN	153517592	THE RETURN	THOMAS DOMINIC RUSSELL
0u59seilVVIiqnrxZiQPCK	Me Leva Pra Casa	MELEVAPRACASA	MELEVAPRACASA	112173518	ME LEVA PRA CASA	PISKA  /AUGUSTO CESAR  /PLOPSCHI ZENITH
3ZBFngMpeioFtHj0uryZGx	Salaa yksinÃ¤inen nainen	SALAYKSINAINENNAINEN	SALAYKSINAINENNAINEN	140359006	SALAA YKSINAINEN NAINEN	MATTI MIKKOLA
1qgmJ4zIuP3PX0M5Exdv98	Happy Go Lucky	HAPYGOLUCKY	HAPYGOLUCKY	154519614	HAPPY GO LUCKY	PAUL HARDCASTLE
1zbFYFFp003w3i6o0foVeW	Moonlight Night	MOONLIGHTNIGHT	MOONLIGHTNIGHT	131709695	MOONLIGHT NIGHT	LEEUWEN ROB
5pwfHIykTlUJzzniVC18hl	Music	MUSIC	MUSIC	126080272	MUSIC	HOFF P/SCHWARZ S/SCHWARZ A/DENALANE J
0EkGVxpPTlO5774mopmmBn	PasiÃ³n y AdiÃ³s	PASIONYADIO	PASIONYADIO	148388590	PASION Y ADIOS (IT)	MICARELLI S/GIMENEZ L
2XWOFeKVnwP6X4uJL0s9W8	Funk de Fino	FUNKDEFINO	FUNKDEFINO	122425577	FUNK DE FINO	DRINNAN GRAHAM
2FOBFj915HDE0yfLKmZogJ	Empty Batteries	EMPTYBATERIE	EMPTYBATERIE	154388178	EMPTY BATTERIES	ELIAS SORIANO/BRADLEY CHESTER KOCHMIT/RA
2152wA6Fzj72ouJNABlZMC	Omstart	OMSTART	OMSTART	134859668	OMSTART	BOEE E/OEYE E/OYAMADA K
0ygOxj62KAQpaODqo7GVFI	Jigsaw	JIGSAW	JIGSAW	153908912	JIGSAW	BILLY PAGE/BILLY PAGE/GENE PAGE/GENE PAG
2V7QMzG6hyKXQQ8RVuBAZp	Queens	QUEEN	QUEEN	151452403	QUEENS	HER/ZEFIRE
5JKiY5vBCnXPIj5mQHuhJu	Welcome to New Zealand	WELCOMETONEWZEALAND	WELCOMETONEWZEALAND	149685055	WELCOME TO NEW ZEALAND	BEE K/STENHOUSE D
6F2BORgWIvqv7HgFQ7tUi1	Battle Sirens (feat. Knife Party)	BATLESIREN	BATLESIREN	149786305	BATTLE SIRENS	SWIRE T/MORELLO T/MCGRILLEN G
7nwV6uwksCWKqIhJ2Ri7qM	Massage Lounge Music	MASAGELOUNGEMUSIC	MASAGELOUNGEMUSIC	151944427	MASSAGE LOUNGE MUSIC	MARCO RINALDO/NIEZNANY
2wsZz1q8bhTnP6I1uvmVGj	Lebe deinen Traum	LEBEDEINENTRAUM	LEBEDEINENTRAUM	146488755	LEBE DEINEN TRAUM	THOMAS HAMMERL
2hw3gvVGXnF50DMHnVBwb2	Doesn't Matter Anyway	DOESNTMATERANYWAY	DOESNTMATERANYWAY	141957722	DOESN'T MATTER ANYWAY	JON OLIVA/JON OLIVA/PAUL ONEILL/PAUL ONE
6Oq7fsdhGo8YfK9QqhT2HW	Tearing Me Up	TEARINMEUP	TEARINMEUP	129786788	TEARING ME UP	SHELTON MATTHEW
740FyKQuCtseWohjEtW2c0	Everything	EVERYTHIN	EVERYTHIN	140772638	EVERYTHING	CROSS CHRISTOPHER/MEURER ROB
666oy0OHH5qGtJgTnC6tfA	Hello (It's Me Are You There)	HELO	HELO	153466611	HELLO (IT'S ME ARE YOU THERE) (DE)	THILO JACKS
3W3P5rOSOP6gxqZFzSe8xL	Sur mon epaule	SURMONEPAULE	SURMONEPAULE	146537192	SUR MON EPAULE	ANAIS E/LAVIL P/MC NEIL D
1cEX1AYeEul6KJzUvweWdK	Got To Cry	GOTTOCRY	GOTTOCRY	142968936	GOT TO CRY	BROWN J/BROWN J
7Fx9WpTSXLTQux8MrXEGkU	The Forest Floor	FORESTFLOOR	FORESTFLOOR	151165143	THE FOREST FLOOR	CHRISTOPHER JOHNSON
4199BdsVeDq0CN0HQpHfQ4	Orange Loft	ORANGELOFT	ORANGELOFT	141002559	ORANGE LOFT	MARCEL FLORSCHUTZ
7M0GaGDy4MMGZxiVMZjMja	Chillout 69	CHILOUT69	CHILOUT69	153476452	CHILL OUT 69	MARCO RINALDO
6hWOzchcVbVHuyA5Mb88bs	Secret Agent	SECRETAGENT	SECRETAGENT	233822975	SECRET AGENT	GLASS PHILIP
2mkRpRkO1rMnUB6b9fEvYE	Just for Her	JUSTFORHER	JUSTFORHER	148380991	JUST FOR HER	LAST RESORT
08r5ou7k9ZaLiHN8TX5RWo	One For My Baby	ONEFORMYBABY	ONEFORMYBABY	101563920	ONE FOR MY BABY	ARLEN H/MERCER J
52gNbUZRu5pY9l5e1ahtkS	A Thousand Years (Sax Melody)	THOUSANDYEAR	THOUSANDYEAR	155839550	A THOUSAND YEARS	PERRI CHRISTINA JUDITH/HODGES DAVID
7dGkM8V2ONUzPfQ9FdHOVf	Recercada Romanesca	RECERCADAROMANESCA	RECERCADAROMANESCA	150905986	RECERCADA ROMANESCA	DIEGO ORTIZ
1M3S6bnTa3mRMLUZqzkUbA	Brand New	BRANDNEW	BRANDNEW	143218084	BRAND NEW	JACQUES R/MOYNAHAN R
0xdhqG3HQBOBviaMEiPgHR	Tap Tap Tap	TAPTAPTAP	TAPTAPTAP	152968073	TAP TAP TAP	DRUMCORPS
4EzUG55GQmovhxjqUWSiYo	Gate 3	GATE3	GATE3	139381677	GATE 3	GINZBURG J/PURGAS P
4yoi5sglz8YR3SX2WwPpgC	Our Father	OURFATHER	OURFATHER	146287633	OUR FATHER	FRASER B/LIGERTWOOD S/MYRIN J
2uYnPIbuOAAT6h0pLgF4vQ	Sandman	SANDMAN	SANDMAN	118640490	SANDMAN	MORAN MICHAEL
5cR93FH9SJKzkS6QhPHg7W	Llamame	LAMAME	LAMAME	136443293	LLAMAME	HORVILLEUR E/ARCAUTE R
6v8FXSmKMFGwFp23wK1DXD	Tell Me	TELME	TELME	133406117	TELL ME	/OCAMPO LOUIE/AYQUE A/OCAMPO JR J
73liEZrnhX2XNXSLifO2xM	Get Away	GETAWAY	GETAWAY	152757280	GET AWAY	JENSEN/ABA/HOEFFDING/ODBJERG/THORUP/WASA
3swIgDTjS5zcmsVzvTeTMr	The Unicorn	UNICORN	UNICORN	100125999	UNICORN	SILVERSTEIN SHEL
6rOP9e8fg8PBe5qyJzKvVa	Violet Hill	VIOLETHIL	VIOLETHIL	136581645	VIOLET HILL	BERRYMAN/BUCKLAND/CHAMPION/MARTIN
7oIPYcHVsiDZSrHYeA0ogg	Real Love	REALLOVE	REALLOVE	149960685	REAL LOVE	LENKER ADRIANNE ELIZABETH
7wZIqkXJOFzhr49aWNpsTw	Spinoza	SPINOZA	SPINOZA	143712270	SPINOZA	JOYNER E/WIDMER G
6o6OO0SPFoIDM7j4zrvuNg	Rigor Mortis	RIGORMORTI	RIGORMORTI	112290190	RIGOR MORTIS	NEVILLE/PORTER/MODELISTE/NOCENTELLI
4BoNrxrQ6V0iKkExokBoKO	Train Song	TRAINSONG	TRAINSONG	154248446	TRAIN SONG	DANNY FISHMAN
