unique_input_record_identifier	input_title	lookup_key	lookup_key_given	database_song_code	database_song_title	database_song_writers
4jpaa5BZdOtVgzKNyVxSM2	Sonnet for Stevie	SONETFORSTEVIE	SONETFORSTEVIE	146265957	SONNET FOR STEVIE	TURNER MARK FREMONT
5I6d1gfpbEkJTewRNynxnQ	Onde o Nordeste Garoa	ONDEONORDESTEGAROA	ONDEONORDESTEGAROA	130085886	ONDE O NORDESTE GAROA	ONILDO ALMEIDA ONILDO ALMEIDA
5wvV1kJoSILDqdOTSFmoKA	Moon Dust	MOONDUST	MOONDUST	137550420	MOON DUST	UNKNOWN
4Tzh40NrdibXC2Nb0gZ9Wl	Jackie	JACKIE	JACKIE	144781696	JACKIE	MORT SHUMAN/JACQUES BREL/GERARD JOUANNES
1TSFiM4D3tyx6L7GD3c6Ph	Early Morning	EARLYMORNIN	EARLYMORNIN	153660431	EARLY MORNING	TREEHOUSE 707
41v7FqRpYIwdr65IGoQRbH	Beni Benimle BÄ±rak	BENIBENIMLEBIRAK	BENIBENIMLEBIRAK	141007793	BENI BENIMLE BIRAK	YAGMUR SARIGUL
2DuLCNjIszZ3g5B4XE8ONy	Surround Me with Your Love	SUROUNDMEWITHYOURLOVE	SUROUNDMEWITHYOURLOVE	135827792	SURROUND ME WITH YOUR LOVE (MENTAL OVERDRIVE REMIX)	MARTINSEN P/BERTHEUSSEN P/HANSEN S
0MkayFomiiea3ngp05amTn	Vizine (Freestyle)	VIZINE	VIZINE	154653099	VIZINE (FREESTYLE)	BOUSMARA DIVISION NO1
02fenXEY9TV3lKW33j5ipA	School's Out	SCHOOLSOUT	SCHOOLSOUT	107526722	SCHOOL'S OUT	COOPER/BRUCE/SMITH/BUXTON/DUNAWAY
0S7kfXOe4pbR1Wrkby1hGz	Malacoda	MALACODA	MALACODA	154376852	MALACODA	CASPIAN
78xYQbFUcYComSOzBpo3WT	Bimbo Satellite	BIMBOSATELITE	BIMBOSATELITE	145818029	BIMBO SATELLITE	CHRIS JOSS
7FvJQy0fu6b8nEWwcgcHT3	Old Norwegian Romance, Op. 51: I. Poco tranquillo	OLDNORWEGIANROMANCEOP51IP	OLDNORWEGIANROMANCEOP51IP	149051984	OLD NORWEGIAN ROMANCE, OP. 51: I. POCO TRANQUILLO	EDVARD GRIEG
7zvElHJqPZY4CGc3tprlwR	Fish And Mice	FISH&MICE	FISH&MICE	140209907	FISH AND MICE	THROSBY HOLLY SARAH
5WWcjsrfnJI43r1ZJbpxqO	The Motorcade	MOTORCADE	MOTORCADE	116401337	MOTORCADE	GOLDSMITH JERRY
4hkdtl3xpE5MGJajzRgiZA	Toccata II	TOCATAII	TOCATAII	147040035	TOCCATA II	ROLF LISLEVAND
08pZ47A3mehqQZ5htXkak7	Heavy Love (ASOT 818)	HEAVYLOVE	HEAVYLOVE	151940352	HEAVY LOVE	MAX V/RATA A/SONES K
3R4XTOBeXtSbcZ5ujSHmam	Give Me The Roses	GIVEMEROSE	GIVEMEROSE	132934756	GIVE ME ROSES	PATE MARY
5FIfrMB4XPezXNt1zobOwk	I Believe In (feat. Beta Bow)	IBELIEVEIN	IBELIEVEIN	140861111	I BELIEVE IN (FEAT. BETA BOW)	DEITCHER T/GUENTHER/DONNELLY H
1guyHT1SrCFHwfdCvZ8J2x	Introduction: Nothingness	INTRODUCTIONNOTHINGNES	INTRODUCTIONNOTHINGNES	149164855	INTRODUCTION; NOTHINGNESS	CALNIN HAYDEN RICHARD
0kRHPaomykhU8eKJjoTBfO	Red River	REDRIVER	REDRIVER	109439785	RED RIVER	FIXSEN G/FIELDER M
5042gESl3wqaQVAdHglwVz	Taking A Chance On Love	TAKINCHANCEONLOVE	TAKINCHANCEONLOVE	144350480	TAKING CHANCE ON LOVE	DUKE/LATOUCHE/FETTER
7t3lzveOldcMW2OkM9756N	Selfie	SELFIE	SELFIE	149106119	SELFIE	/BABBU MAAN/MAAN TEJINDER SINGH
55ohhJLbz4BTwZ6GzfdbMe	If I Needed You	IFINEEDEDYOU	IFINEEDEDYOU	155922072	IF I NEEDED YOU	ZANDT VAN TOWNES
5jJYJthaXUdkHKmiS6TuXe	Distance (feat. Joey Bada$$, Issa Gold & Erick The Architect)	DISTANCE	DISTANCE	155925464	DISTANCE	JO VAUGHN VIRGINIE/JO VAUGHN VIRGINIE/MA
06lGG2WrxIGUoMMQbR3O4Z	Nostradamus	NOSTRADAMU	NOSTRADAMU	140993998	NOSTRADAMUS	THOMAS SPITZER
6Yy8nhChB5RxOHftjstcKG	Pashunfruit	PASHUNFRUIT	PASHUNFRUIT	154655105	PASHUNFRUIT	GUSTAF ISAACSON
23RXgB6zTuxiW1GheO5b6t	Suite No. 2 in F Major: Prelude - Allemande - Courante - Bourree - Sarabande - Menuet I & II - Gigue	SUITENO2INFMAJORPRELUDEAL	SUITENO2INFMAJORPRELUDEAL	145461066	SUITE NO. 2 IN F MAJOR: PRELUDE - ALLEMANDE - COURANTE - BOU	SILVIUS LEOPOLD WEISS
5MGCxdfa80nbBGcqqQWygx	Under the Bridge	UNDERBRIDGE	UNDERBRIDGE	153882290	UNDER BRIDGE	GODDE HANS
1LmkXSQbofMD4JEYqsmZcL	Silence	SILENCE	SILENCE	155899184	SILENCE	UNDERWOOD MICHAEL GEOFFREY
7xLJpKCqPI1LRStBlvmsup	Tommy Bahama	TOMYBAHAMA	TOMYBAHAMA	152179211	TOMMY BAHAMA	MYLES PARRISH
6VFmgcvCbfgoS63SfrBlgg	You Did It, You Did It	YOUDIDITYOUDIDIT	YOUDIDITYOUDIDIT	102086696	YOU DID IT YOU DID IT	KIRK ROLAND
5ZTgFaoPKdJZa7EvAXXYcy	Melkweg Bass	MELKWEGBAS	MELKWEGBAS	153886355	MELKWEG BASS	LIAM MCLEAN
2fCJg4P5QlKNecepq5zo22	S'posin'	SPOSIN	SPOSIN	138534769	SPOSIN	PAUL DENNIKER
4GMAyVjTpL9vgKd7aZJkSd	Indigo	INDIGO	INDIGO	152818016	INDIGO	PLUSMA
5dOuPV9NHt5uWqxvhVbA0n	Bald Butte	BALDBUTE	BALDBUTE	152108675	BALD BUTTE	WALL COLTER BRADLEY
1tpcdO2cqYuY0EsqvxZazE	La Violetera	VIOLETERA	VIOLETERA	101460588	VIOLETERA (ORIGINAL VERSION)	PADILLA-SANCHEZ J/MONTESINOS L
0BaUwLv2lSBwIwGTzjgIXR	Frank	FRANK	FRANK	102767975	FRANK	MATTHEWS CHRISTOPHER STEPHEN
2WyUzDQjzQfPMz1EGsjLw2	Operation New Me	OPERATIONNEWME	OPERATIONNEWME	153072633	OPERATION NEW ME	MORIUCHI/JAMIL/MCKAY/GUTSTADT/PETERS
